No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
1,AAPL,Apple Inc.,"3,551.16B",234.93,-0.06%,391.04B
2,NVDA,NVIDIA Corporation,"3,314.48B",135.34,-1.15%,113.27B
3,MSFT,Microsoft Corporation,"3,144.88B",422.99,-1.17%,254.19B
4,AMZN,"Amazon.com, Inc.","2,163.36B",205.74,-1.02%,620.13B
5,GOOG,Alphabet Inc.,"2,080.34B",170.82,0.12%,339.86B
6,GOOGL,Alphabet Inc.,"2,071.54B",169.23,0.07%,339.86B
7,META,"Meta Platforms, Inc.","1,436.94B",569.2,-0.76%,156.23B
8,TSLA,"Tesla, Inc.","1,068.60B",332.89,-1.58%,97.15B
9,BRK-B,Berkshire Hathaway Inc.,"1,041.13B",483.08,0.94%,369.89B
10,AVGO,Broadcom Inc.,745.75B,159.67,-3.08%,46.82B
11,WMT,Walmart Inc.,738.55B,91.88,0.62%,673.82B
12,LLY,Eli Lilly and Company,709.71B,788.19,-0.14%,40.86B
13,JPM,JPMorgan Chase & Co.,703.24B,249.79,-0.07%,162.15B
14,V,Visa Inc.,616.73B,314.7,0.92%,35.93B
15,UNH,UnitedHealth Group Incorporated,559.88B,608.38,0.26%,393.90B
16,XOM,Exxon Mobil Corporation,517.13B,117.66,-0.26%,343.82B
17,ORCL,Oracle Corporation,506.27B,182.7,-4.03%,53.82B
18,MA,Mastercard Incorporated,488.63B,532.38,0.74%,27.23B
19,COST,Costco Wholesale Corporation,426.04B,961.55,-1.02%,254.45B
20,HD,"The Home Depot, Inc.",424.35B,427.19,-0.02%,154.60B
21,PG,The Procter & Gamble Company,422.40B,179.36,0.03%,83.91B
22,NFLX,"Netflix, Inc.",375.03B,877.34,0.54%,37.59B
23,JNJ,Johnson & Johnson,374.14B,155.4,0.57%,87.70B
24,BAC,Bank of America Corporation,366.53B,47.77,0.04%,94.63B
25,ABBV,AbbVie Inc.,323.53B,183.08,1.07%,55.53B
26,CRM,"Salesforce, Inc.",315.49B,330.01,-3.84%,36.47B
27,CVX,Chevron Corporation,291.33B,162.11,-0.26%,191.69B
28,TMUS,"T-Mobile US, Inc.",285.71B,246.2,0.89%,80.01B
29,KO,The Coca-Cola Company,277.55B,64.43,-0.19%,46.37B
30,MRK,"Merck & Co., Inc.",260.86B,103.12,1.48%,63.17B
31,WFC,Wells Fargo & Company,257.07B,77.21,-0.18%,77.88B
